Direct Costs,Jan '26 ,Feb '26 ,Mar '26 ,Apr '26 ,May '26 ,June '26 ,July '26 ,Aug '26 ,Sept '26 ,Oct '26 ,Nov '26 ,Dec '26 ,2026 ,Jan '27 ,Feb '27 ,Mar '27 ,Apr '27 ,May '27 ,June '27 ,July '27 ,Aug '27 ,Sept '27 ,Oct '27 ,Nov '27 ,Dec '27 ,2027 ,Jan '28 ,Feb '28 ,Mar '28 ,Apr '28 ,May '28 ,June '28 ,July '28 ,Aug '28 ,Sept '28 ,Oct '28 ,Nov '28 ,Dec '28 ,2028 
Direct Costs,49424,71516,73158,84585,85188,85911,97265,115769,96969,77412,85794,61371,984362,98009,153630,105816,106276,149386,124727,136118,158758,149002,128240,162144,123614,1595720,984,984,984,984,984,984,984,984,984,984,984,984,11808
Espoo Shop: Raw materials - cans,1460,1752,1898,2044,2190,2336,2336,2482,2336,2336,2336,2336,25842,1460,1752,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336,26572,,,,,,,,,,,,,
Espoo Shop: alco tax - cans,1090,1308,1417,1526,1635,1744,1744,1853,1744,1744,1744,1744,19293,1090,1308,1744,1744,1744,1744,1744,1744,1744,1744,1744,1744,19838,,,,,,,,,,,,,
Espoo Shop: Pantti,270,324,351,378,405,432,432,459,432,432,432,432,4779,270,324,432,432,432,432,432,432,432,432,432,432,4914,,,,,,,,,,,,,
Online Shop: Raw materials,1460,1460,1752,1898,2044,2044,2044,2044,2336,2336,2482,2482,24382,3650,3650,2336,2482,2628,2774,2920,3066,3212,3358,3650,3650,37376,,,,,,,,,,,,,
Online Shop: Alcohol tax,1090,1090,1308,1417,1526,1526,1526,1526,1744,1744,1853,1853,18203,2725,2725,1744,1853,1962,2071,2180,2289,2398,2507,2725,2725,27904,,,,,,,,,,,,,
Online Shop: Pantti,270,270,324,351,378,378,378,378,432,432,459,459,4509,675,675,432,459,486,513,540,567,594,621,675,675,6912,,,,,,,,,,,,,
Salama Own Bars: Raw materials,1460,1752,1752,1752,1898,2044,2044,2044,2044,1752,1752,1752,22046,2920,3650,4380,4380,4380,5840,5840,5840,5840,5840,5840,5840,60590,,,,,,,,,,,,,
Salama Own Bars: alco tax,1060,1272,1272,1272,1378,1484,1484,1484,1484,1272,1272,1272,16006,2120,2650,3180,3180,3180,4240,4240,4240,4240,4240,4240,4240,43990,,,,,,,,,,,,,
Alko: Raw materials - cans,1460,1460,1460,1606,1752,1752,1752,1460,1460,1460,1460,1460,18542,1460,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,20732,,,,,,,,,,,,,
Kesko Central: Raw materials,1168,1168,1168,1460,1752,6424,3650,3650,6132,1752,1752,1752,31828,1752,3212,3212,3650,5110,12556,7008,7008,11972,5110,5110,5110,70810,,,,,,,,,,,,,
SOK-PT: Raw Materials,5110,5110,5548,5548,5548,5548,5548,5548,5548,5548,5548,5548,65700,5548,11680,11680,11680,11680,11680,11680,11680,14454,14454,14454,14454,145124,,,,,,,,,,,,,
SOK-PT: alco tax - cans,3780,3780,4104,4104,4104,4104,4104,4104,4104,4104,4104,4104,48600,4104,8640,8640,8640,8640,8640,8640,8640,10692,10692,10692,10692,107352,,,,,,,,,,,,,
SOK-Bars: raw materials,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,1022,12264,1022,1460,1752,2190,2190,2190,2920,2920,2920,2920,2920,2920,28324,,,,,,,,,,,,,
SOK Bars-kegs: alco tax,756,756,756,756,756,756,756,756,756,756,756,756,9072,756,1080,1296,1620,1620,1620,2160,2160,2160,2160,2160,2160,20952,,,,,,,,,,,,,
Kesko direct: Raw materials - cans,2205,2205,3822,4410,4704,5292,5292,5292,5292,4851,5292,5292,53949,5292,6762,7056,7056,7350,8820,8820,8820,8820,9702,11025,11025,100548,,,,,,,,,,,,,
Kesko direct: alco tax - cans,1635,1635,2834,3270,3488,3924,3924,3924,3924,3597,3924,3924,40003,3924,5014,5232,5232,5450,6540,6540,6540,6540,7194,8175,8175,74556,,,,,,,,,,,,,
Kesko Direct: Pantti,405,405,702,810,864,972,972,972,972,891,972,972,9909,972,1242,1296,1296,1350,1620,1620,1620,1620,1782,2025,2025,18468,,,,,,,,,,,,,
Bars/Pubs/restaurants Finland: raw materials,3675,5145,6615,6615,7350,8085,8085,8085,6615,6615,7350,7350,81585,6615,8085,8085,8085,9555,10290,11025,12495,12495,12495,11760,10290,121275,,,,,,,,,,,,,
Bars/Pubs/restaurants Finland: alco tax,2650,3710,4770,4770,5300,5830,5830,5830,4770,4770,5300,5300,58830,4770,5830,5830,5830,6890,7420,7950,9010,9010,9010,8480,7420,87450,,,,,,,,,,,,,
Export-Systembolaget: Raw materials - cans,0,6116,1529,8340,8340,,18070,,13900,1390,1390,,59075,16263,19460,2780,2780,6950,2780,18070,,18070,,0,,87153,,,,,,,,,,,,,
Export (Brill): raw materials,4410,9555,9555,9555,9555,9555,9555,9555,9555,9555,9555,9555,109515,9555,9555,9555,9555,9555,9555,9555,9555,9555,9555,9555,9555,114660,,,,,,,,,,,,,
Export Norway: raw materials,1460,0,0,1460,0,1460,0,1460,0,0,1460,0,7300,0,1898,0,1898,0,1898,0,1898,0,0,1898,0,9490,,,,,,,,,,,,,
Export Denmark: raw materials,,2190,0,2190,0,2190,0,2190,0,2190,2190,0,13140,0,2482,0,2482,0,2482,0,2482,0,2482,0,0,12410,,,,,,,,,,,,,
Export Portugal: raw materials,1898,0,1898,0,1898,0,1898,0,1898,0,1898,0,11388,2482,0,2482,0,2482,0,2482,0,2482,0,2482,0,14892,,,,,,,,,,,,,
Export France: raw materials,0,2190,0,2190,0,2190,0,0,2190,0,2190,0,10950,2920,,2920,0,2920,,,2920,,2920,0,0,14600,,,,,,,,,,,,,
Export Switzerland: raw materials,0,0,1460,0,1460,0,0,0,1460,0,1460,0,5840,0,2190,0,2190,0,2190,0,2190,0,2190,0,2190,13140,,,,,,,,,,,,,
Export Germany: raw materials,0,1022,0,1022,0,0,0,1022,0,1022,0,1022,5110,1460,0,1460,0,1460,0,1460,0,1460,0,1460,0,8760,,,,,,,,,,,,,
Export Spain: raw materials,0,0,1022,0,1022,0,0,0,0,1022,1022,0,4088,1460,0,1460,730,730,0,1460,0,1460,0,0,1460,8760,,,,,,,,,,,,,
Export Rest of the countries: raw materials,0,735,735,735,735,735,735,735,735,735,735,0,7350,11760,11760,11760,11760,11760,11760,11760,11760,11760,11760,11760,11760,141120,,,,,,,,,,,,,
Export China: raw materials,0,0,0,0,0,0,0,33810,0,0,0,0,33810,0,33810,0,0,33810,0,0,33810,0,0,33810,0,135240,,,,,,,,,,,,,
"Distribution costs (product, logistics & taxes)",984,984,984,984,984,984,984,984,984,984,984,984,11808,984,984,984,984,984,984,984,984,984,984,984,984,11808,984,984,984,984,984,984,984,984,984,984,984,984,11808
Bemböle Contract Brewery rawmaterials,4851,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,,78351,,,,,,,,,,,,,,,,,,,,,,,,,,
Copy of Bemböle Contract Brewery labour,3795,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,,61295,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,49424,71516,73158,84585,85188,85911,97265,115769,96969,77412,85794,61371,984362,98009,153630,105816,106276,149386,124727,136118,158758,149002,128240,162144,123614,1595720,984,984,984,984,984,984,984,984,984,984,984,984,11808