Expenses,Jan '26 ,Feb '26 ,Mar '26 ,Apr '26 ,May '26 ,June '26 ,July '26 ,Aug '26 ,Sept '26 ,Oct '26 ,Nov '26 ,Dec '26 ,2026 ,Jan '27 ,Feb '27 ,Mar '27 ,Apr '27 ,May '27 ,June '27 ,July '27 ,Aug '27 ,Sept '27 ,Oct '27 ,Nov '27 ,Dec '27 ,2027 ,Jan '28 ,Feb '28 ,Mar '28 ,Apr '28 ,May '28 ,June '28 ,July '28 ,Aug '28 ,Sept '28 ,Oct '28 ,Nov '28 ,Dec '28 ,2028 
Rent Klondyke,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,148200,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,148200,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,12350,148200
Rent Espoo,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,28872,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,28872,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,28872
Electricity,2500,2500,2500,2500,2500,2500,2500,3000,3000,3000,3000,3000,32500,3000,3000,3500,3500,3500,3500,4000,4000,4000,4000,4000,4000,44000,,,,,,,,,,,,,
Water,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24000,,,,,,,,,,,,,
Travel  & Marketing,3000,4000,4000,5000,5000,5000,9000,9000,9000,5000,5000,5000,68000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000,,,,,,,,,,,,,
Outside (bought) services,10000,7500,12000,12000,12000,15000,15000,15000,15000,15000,15000,15000,158500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,120000,,,,,,,,,,,,,
Logistic Transports in & out,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,60000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,60000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,60000
ICT,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,20400,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,20400,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,20400
Advertising,2647,2647,3176,3441,3705,3705,3705,3705,4235,4235,4499,4499,44198,6617,6617,4235,4499,4764,5029,5293,5558,5823,6087,6617,6617,67753,,,,,,,,,,,,,
"Lease: cold room, car",2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,26400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,26400,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,26400
Finance-Admin-Banking-Insurance,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,54000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,54000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,54000
"Distribution business (beers, etc)",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000
Brewery (Espoo) shop costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewery Equipment & Spareparts,900,900,900,900,900,900,900,900,900,900,900,900,10800,900,900,900,900,900,900,900,900,900,900,900,900,10800,900,900,900,900,900,900,900,900,900,900,900,900,10800
Janitorial & Security,570,570,570,570,570,570,570,570,570,570,570,570,6840,570,570,570,570,570,570,570,570,570,570,570,570,6840,570,570,570,570,570,570,570,570,570,570,570,570,6840
Totals,49773,48273,53302,54567,54831,57831,61831,62331,62861,58861,59125,59125,682710,67243,67243,65361,65625,65890,66155,66919,67184,67449,67713,68243,68243,803265,30626,30626,30626,30626,30626,30626,30626,30626,30626,30626,30626,30626,367512