Personnel,Jan '26 ,Feb '26 ,Mar '26 ,Apr '26 ,May '26 ,June '26 ,July '26 ,Aug '26 ,Sept '26 ,Oct '26 ,Nov '26 ,Dec '26 ,2026 ,Jan '27 ,Feb '27 ,Mar '27 ,Apr '27 ,May '27 ,June '27 ,July '27 ,Aug '27 ,Sept '27 ,Oct '27 ,Nov '27 ,Dec '27 ,2027 ,Jan '28 ,Feb '28 ,Mar '28 ,Apr '28 ,May '28 ,June '28 ,July '28 ,Aug '28 ,Sept '28 ,Oct '28 ,Nov '28 ,Dec '28 ,2028 
Head Count,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,11.92,9,9,9,9,9,9,9,9,9,9,9,9,9
Direct Labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personnel Expenses,38557,38557,38557,38557,38557,38557,38557,38557,38557,38557,38557,38557,462684,38557,42592,42592,42592,42592,42592,42592,42592,42592,42592,42592,42592,507069,30487,30487,30487,30487,30487,30487,30487,30487,30487,30487,30487,30487,365844
CEO,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,51432,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,51432,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,4286,51432
Brewmaster,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,45288,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,45288,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,3774,45288
Sales Director,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,63960,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,63960,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,63960
Brewers,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,96840,8070,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,141225,,,,,,,,,,,,,
Purchasing manager,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,39360,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,39360,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,39360
Export manager,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,43044,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,43044,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,3587,43044
Creative director,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,40560,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,40560,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,3380,40560
Sales Manager,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,46200,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,46200,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,3850,46200
Marketing/Bemböle shop,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,36000
Employee Taxes & Benefits,8868,8868,8868,8868,8868,8868,8868,8868,8868,8868,8868,8868,106417,8868,9796,9796,9796,9796,9796,9796,9796,9796,9796,9796,9796,116626,7012,7012,7012,7012,7012,7012,7012,7012,7012,7012,7012,7012,84144
Totals,47425,47425,47425,47425,47425,47425,47425,47425,47425,47425,47425,47425,569101,47425,52388,52388,52388,52388,52388,52388,52388,52388,52388,52388,52388,623695,37499,37499,37499,37499,37499,37499,37499,37499,37499,37499,37499,37499,449988