Revenue,Jan '26 ,Feb '26 ,Mar '26 ,Apr '26 ,May '26 ,June '26 ,July '26 ,Aug '26 ,Sept '26 ,Oct '26 ,Nov '26 ,Dec '26 ,2026 ,Jan '27 ,Feb '27 ,Mar '27 ,Apr '27 ,May '27 ,June '27 ,July '27 ,Aug '27 ,Sept '27 ,Oct '27 ,Nov '27 ,Dec '27 ,2027 ,Jan '28 ,Feb '28 ,Mar '28 ,Apr '28 ,May '28 ,June '28 ,July '28 ,Aug '28 ,Sept '28 ,Oct '28 ,Nov '28 ,Dec '28 ,2028 
Espoo Shop,12030,14436,15639,16842,18045,19248,19248,20451,19248,19248,19248,19248,212931,12030,14436,19248,19248,19248,19248,19248,19248,19248,19248,19248,19248,218946,,,,,,,,,,,,,
Salama Own Bars,6260,7512,7512,7512,8138,8764,8764,8764,8764,7512,7512,7512,94526,12520,15650,18780,18780,18780,25040,25040,25040,25040,25040,25040,25040,259790,,,,,,,,,,,,,
Online Shop,12030,12030,14436,15639,16842,16842,16842,16842,19248,19248,20451,20451,200901,30075,30075,19248,20451,21654,22857,24060,25263,26466,27669,30075,30075,307968,,,,,,,,,,,,,
Alko,4200,4200,4200,4620,5040,5040,5040,4200,4200,4200,4200,4200,53340,4200,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,5040,59640,,,,,,,,,,,,,
Kesko - central warehouse,2968,2968,2968,3710,4452,16324,9275,9275,15582,4452,4452,4452,80878,4452,8162,8162,9275,12985,31906,17808,17808,30422,12985,12985,12985,179935,,,,,,,,,,,,,
PT (mostly Kesko direct sales),11655,11655,20202,23310,24864,27972,27972,27972,27972,25641,27972,27972,285159,27972,35742,37296,37296,38850,46620,46620,46620,46620,51282,58275,58275,531468,,,,,,,,,,,,,
SOK Central,15260,15260,16568,16568,16568,16568,16568,16568,16568,16568,16568,16568,196200,16568,34880,34880,34880,34880,34880,34880,34880,43164,43164,43164,43164,433384,,,,,,,,,,,,,
SOK - Bars,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,47544,3962,5660,6792,8490,8490,8490,11320,11320,11320,11320,11320,11320,109804,,,,,,,,,,,,,
Bars/Pubs/restaurants Finland,15500,21700,27900,27900,31000,34100,34100,34100,27900,27900,31000,31000,344100,27900,34100,34100,34100,40300,43400,46500,52700,52700,52700,49600,43400,511500,,,,,,,,,,,,,
Distribution,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,14400,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,14400,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,14400
Export - Sweden (Brill),6960,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,172840,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,180960,,,,,,,,,,,,,
Export - Systembolaget,0,13508,3377,18420,18420,,39910,,30700,3070,3070,,130475,35919,42980,6140,6140,15350,6140,39910,,39910,,0,,192489,,,,,,,,,,,,,
Export: Norway,3500,0,0,3500,0,3500,0,3500,0,0,3500,0,17500,0,4550,0,4550,0,4550,0,4550,0,0,4550,0,22750,,,,,,,,,,,,,
Export: Denmark,,5250,0,5250,0,5250,0,5250,0,5250,5250,0,31500,0,5950,0,5950,0,5950,0,5950,0,5950,0,0,29750,,,,,,,,,,,,,
Export: Portugal,4550,0,4550,0,4550,0,4550,0,4550,0,4550,0,27300,5950,0,5950,0,5950,0,5950,0,5950,0,5950,0,35700,,,,,,,,,,,,,
Export: France,0,5250,0,5250,0,5250,0,0,5250,0,5250,0,26250,7000,,7000,0,7000,,,7000,,7000,0,0,35000,,,,,,,,,,,,,
Export: Switzerland,0,0,3500,0,3500,0,0,0,3500,0,3500,0,14000,0,5250,0,5250,0,5250,0,5250,0,5250,0,5250,31500,,,,,,,,,,,,,
Export: Germany,0,2450,0,2450,0,0,0,2450,0,2450,0,2450,12250,3500,0,3500,0,3500,0,3500,0,3500,0,3500,0,21000,,,,,,,,,,,,,
Export: Spain,0,0,2450,0,2450,0,0,0,0,2450,2450,0,9800,3500,0,3500,1750,1750,0,3500,0,3500,0,0,3500,21000,,,,,,,,,,,,,
Export: Netherlands,0,3900,3900,3900,3900,3900,0,3900,3900,3900,3900,0,35100,3900,0,3900,5460,,5460,5460,5460,5460,0,5460,5460,46020,,,,,,,,,,,,,
Export: Rest of the countries,0,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,0,17500,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,336000,,,,,,,,,,,,,
Export: China,0,0,0,0,0,0,0,81420,0,0,0,0,81420,0,81420,0,0,81420,0,0,81420,0,0,81420,0,325680,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemböle Contract Brewery,16500,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,266500,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals,116575,167111,174194,201863,204761,209750,229261,281684,234374,188881,209865,154095,2372414,243728,368175,257816,260940,359477,309111,333116,391829,362620,310928,399907,307037,3904684,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,14400